time,trial,gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
363.217987 , 3 , true , 13059.176758 2811.681641 164.591232,3593.786377 2919.720703 2.004921,3491.001953 2877.92334 144.03598,-2611.518799 -14515.308594 62.924324,-14431.358398 9447.588867 151.109726,-3932.424805 2857.514648 -59.615185,-5552.336914 -3730.605713 -149.220016,-3066.674805 -1569.354858 -25.520363,5655.146484 3156.383789 28.948898,13140.831055 -131.978668 154.372482,5818.456055 1933.36377 -132.571869,-4639.240723 -9719.734375 -1.281219,1977.11377 -11531.125 117.049423,-14513.375977 4811.607422 -171.170578,-10050.844727 -11479.574219 32.61219,10461.079102 -11413.544922 84.706245,12641.087891 -14010.662109 16.783142,-13633.172852 -11424.457031 11.602055,-901.570068 -7572.38916 -37.733074,1433.754883 2047.754639 122.700256,-10653.176758 5971.29541 -143.386475,-7787.083008 -6048.479492 -66.882767,-6022.929688 -14181.802734 -174.07637,-10235.27832 9987.099609 -11.194687,-10103.745117 -1813.754028 -96.995369,-6776.79248 368.91156 -79.301064,-13013.204102 5312.531738 -61.597961,-13306.155273 -1400.643311 -175.475494,
363.717987 , 3 , true , 13029.296875 2819.916016 164.591232,3624.763672 2920.802979 2.004921,3465.912842 2896.125244 144.03598,-2597.411377 -14487.699219 62.924324,-14458.513672 9462.574219 151.109726,-3916.743164 2830.775635 -59.615185,-5578.977539 -3746.468994 -149.220016,-3038.702148 -1582.709229 -25.520363,5682.271484 3171.391846 28.948898,13112.888672 -118.570541 154.372482,5797.476562 1910.533813 -132.571869,-4608.255859 -9720.430664 -1.281219,1963.0177 -11503.515625 117.049423,-14544.012695 4806.854492 -171.170578,-10024.71875 -11462.863281 32.61219,10463.924805 -11382.666016 84.706245,12670.755859 -14001.701172 16.783142,-13602.808594 -11418.220703 11.602055,-877.052368 -7591.355469 -37.733074,1417.006104 2073.842773 122.700256,-10678.061523 5952.813477 -143.386475,-7774.913086 -6076.99707 -66.882767,-6053.763184 -14185.011719 -174.07637,-10204.853516 9981.075195 -11.194687,-10107.529297 -1844.523193 -96.995369,-6771.040527 338.450806 -79.301064,-12998.460938 5285.270508 -61.597961,-13337.064453 -1403.087891 -175.475494,
364.217987 , 3 , true , 12999.416992 2828.150391 164.591232,3655.740967 2921.885254 2.004921,3440.82373 2914.327148 144.03598,-2583.303955 -14460.089844 62.924324,-14485.668945 9477.55957 151.109726,-3901.061523 2804.036621 -59.615185,-5605.618164 -3762.332275 -149.220016,-3010.729492 -1596.063599 -25.520363,5709.396484 3186.399902 28.948898,13084.946289 -105.162483 154.372482,5776.49707 1887.703857 -132.571869,-4577.270996 -9721.126953 -1.281219,1948.921631 -11475.90625 117.049423,-14574.649414 4802.101562 -171.170578,-9998.592773 -11446.152344 32.61219,10466.770508 -11351.787109 84.706245,12700.423828 -13992.740234 16.783142,-13572.444336 -11411.984375 11.602055,-852.534668 -7610.321777 -37.733074,1400.257324 2099.930908 122.700256,-10702.946289 5934.331543 -143.386475,-7762.743164 -6105.514648 -66.882767,-6084.59668 -14188.220703 -174.07637,-10174.428711 9975.050781 -11.194687,-10111.313477 -1875.292358 -96.995369,-6765.288574 307.990051 -79.301064,-12983.717773 5258.009277 -61.597961,-13367.973633 -1405.532471 -175.475494,
364.717987 , 3 , true , 12969.537109 2836.384766 164.591232,3686.718262 2922.967529 2.004921,3415.734619 2932.529053 144.03598,-2569.196533 -14432.480469 62.924324,-14512.824219 9492.544922 151.109726,-3885.379883 2777.297607 -59.615185,-5632.258789 -3778.195557 -149.220016,-2982.756836 -1609.417969 -25.520363,5736.521484 3201.407959 28.948898,13057.003906 -91.754425 154.372482,5755.517578 1864.873901 -132.571869,-4546.286133 -9721.823242 -1.281219,1934.825562 -11448.296875 117.049423,-14605.286133 4797.348633 -171.170578,-9972.466797 -11429.441406 32.61219,10469.616211 -11320.908203 84.706245,12730.091797 -13983.779297 16.783142,-13542.080078 -11405.748047 11.602055,-828.016968 -7629.288086 -37.733074,1383.508545 2126.019043 122.700256,-10727.831055 5915.849609 -143.386475,-7750.573242 -6134.032227 -66.882767,-6115.430176 -14191.429688 -174.07637,-10144.003906 9969.026367 -11.194687,-10115.097656 -1906.061523 -96.995369,-6759.536621 277.529297 -79.301064,-12968.974609 5230.748047 -61.597961,-13398.882812 -1407.977051 -175.475494,
365.218994 , 3 , true , 12939.657227 2844.619141 164.591232,3717.695557 2924.049805 2.004921,3390.645508 2950.730957 144.03598,-2555.089111 -14404.871094 62.924324,-14539.979492 9507.530273 151.109726,-3869.698242 2750.558594 -59.615185,-5658.899414 -3794.058838 -149.220016,-2954.78418 -1622.772339 -25.520363,5763.646484 3216.416016 28.948898,13029.061523 -78.346367 154.372482,5734.538086 1842.043945 -132.571869,-4515.30127 -9722.519531 -1.281219,1920.729492 -11420.6875 117.049423,-14635.922852 4792.595703 -171.170578,-9946.34082 -11412.730469 32.61219,10472.461914 -11290.029297 84.706245,12759.759766 -13974.818359 16.783142,-13511.71582 -11399.511719 11.602055,-803.499268 -7648.254395 -37.733074,1366.759766 2152.107178 122.700256,-10752.71582 5897.367676 -143.386475,-7738.40332 -6162.549805 -66.882767,-6146.263672 -14194.638672 -174.07637,-10113.579102 9963.001953 -11.194687,-10118.881836 -1936.830688 -96.995369,-6753.784668 247.06839 -79.301064,-12954.231445 5203.486816 -61.597961,-13429.791992 -1410.421631 -175.475494,
365.717987 , 3 , true , 12909.777344 2852.853516 164.591232,3748.672852 2925.13208 2.004921,3365.556396 2968.932861 144.03598,-2540.981689 -14377.261719 62.924324,-14567.134766 9522.515625 151.109726,-3854.016602 2723.81958 -59.615185,-5685.540039 -3809.922119 -149.220016,-2926.811523 -1636.126709 -25.520363,5790.771484 3231.424072 28.948898,13001.119141 -64.938309 154.372482,5713.558594 1819.213989 -132.571869,-4484.316406 -9723.21582 -1.281219,1906.633423 -11393.078125 117.049423,-14666.55957 4787.842773 -171.170578,-9920.214844 -11396.019531 32.61219,10475.307617 -11259.150391 84.706245,12789.427734 -13965.857422 16.783142,-13481.351562 -11393.275391 11.602055,-778.981567 -7667.220703 -37.733074,1350.010986 2178.195312 122.700256,-10777.600586 5878.885742 -143.386475,-7726.233398 -6191.067383 -66.882767,-6177.097168 -14197.847656 -174.07637,-10083.154297 9956.977539 -11.194687,-10122.666016 -1967.599854 -96.995369,-6748.032715 216.607162 -79.301064,-12939.488281 5176.225586 -61.597961,-13460.701172 -1412.866211 -175.475494,
366.217987 , 3 , true , 12879.897461 2861.087891 164.591232,3779.650146 2926.214355 2.004921,3340.467285 2987.134766 144.03598,-2526.874268 -14349.652344 62.924324,-14594.290039 9537.500977 151.109726,-3838.334961 2697.080566 -59.615185,-5712.180664 -3825.7854 -149.220016,-2898.838867 -1649.481079 -25.520363,5817.896484 3246.432129 28.948898,12973.176758 -51.530251 154.372482,5692.579102 1796.384033 -132.571869,-4453.331543 -9723.912109 -1.281219,1892.537354 -11365.46875 117.049423,-14697.196289 4783.089844 -171.170578,-9894.088867 -11379.308594 32.61219,10478.15332 -11228.271484 84.706245,12819.095703 -13956.896484 16.783142,-13450.987305 -11387.039062 11.602055,-754.463867 -7686.187012 -37.733074,1333.262207 2204.283447 122.700256,-10802.485352 5860.403809 -143.386475,-7714.063477 -6219.584961 -66.882767,-6207.930664 -14201.056641 -174.07637,-10052.729492 9950.953125 -11.194687,-10126.450195 -1998.369019 -96.995369,-6742.280762 186.145935 -79.301064,-12924.745117 5148.964355 -61.597961,-13491.610352 -1415.310791 -175.475494,
366.717987 , 3 , true , 12850.017578 2869.322266 164.591232,3810.627441 2927.296631 2.004921,3315.378174 3005.33667 144.03598,-2512.766846 -14322.042969 62.924324,-14621.445312 9552.486328 151.109726,-3822.65332 2670.341553 -59.615185,-5738.821289 -3841.648682 -149.220016,-2870.866211 -1662.835449 -25.520363,5845.021484 3261.440186 28.948898,12945.234375 -38.122192 154.372482,5671.599609 1773.554077 -132.571869,-4422.34668 -9724.608398 -1.281219,1878.441284 -11337.859375 117.049423,-14727.833008 4778.336914 -171.170578,-9867.962891 -11362.597656 32.61219,10480.999023 -11197.392578 84.706245,12848.763672 -13947.935547 16.783142,-13420.623047 -11380.802734 11.602055,-729.946167 -7705.15332 -37.733074,1316.513428 2230.371582 122.700256,-10827.370117 5841.921875 -143.386475,-7701.893555 -6248.102539 -66.882767,-6238.76416 -14204.265625 -174.07637,-10022.304688 9944.928711 -11.194687,-10130.234375 -2029.138184 -96.995369,-6736.528809 155.684708 -79.301064,-12910.001953 5121.703125 -61.597961,-13522.519531 -1417.755371 -175.475494,
367.217987 , 3 , true , 12820.137695 2877.556641 164.591232,3841.604736 2928.378906 2.004921,3290.289062 3023.538574 144.03598,-2498.659424 -14294.433594 62.924324,-14648.600586 9567.47168 151.109726,-3806.97168 2643.602539 -59.615185,-5765.461914 -3857.511963 -149.220016,-2842.893555 -1676.189819 -25.520363,5872.146484 3276.448242 28.948898,12917.291992 -24.714134 154.372482,5650.620117 1750.724121 -132.571869,-4391.361816 -9725.304688 -1.281219,1864.345215 -11310.25 117.049423,-14758.469727 4773.583984 -171.170578,-9841.836914 -11345.886719 32.61219,10483.844727 -11166.513672 84.706245,12878.431641 -13938.974609 16.783142,-13390.258789 -11374.566406 11.602055,-705.428467 -7724.119629 -37.733074,1299.764648 2256.459717 122.700256,-10852.254883 5823.439941 -143.386475,-7689.723633 -6276.620117 -66.882767,-6269.597656 -14207.474609 -174.07637,-9991.879883 9938.904297 -11.194687,-10134.018555 -2059.908691 -96.995369,-6730.776855 125.223503 -79.301064,-12895.258789 5094.441895 -61.597961,-13553.428711 -1420.199951 -175.475494,
367.717987 , 3 , true , 12790.257812 2885.791016 164.591232,3872.582031 2929.461182 2.004921,3265.199951 3041.740479 144.03598,-2484.552002 -14266.824219 62.924324,-14675.755859 9582.457031 151.109726,-3791.290039 2616.863525 -59.615185,-5792.102539 -3873.375244 -149.220016,-2814.920898 -1689.544189 -25.520363,5899.271484 3291.456299 28.948898,12889.349609 -11.306066 154.372482,5629.640625 1727.894165 -132.571869,-4360.376953 -9726.000977 -1.281219,1850.249146 -11282.640625 117.049423,-14789.106445 4768.831055 -171.170578,-9815.710938 -11329.175781 32.61219,10486.69043 -11135.634766 84.706245,12908.099609 -13930.013672 16.783142,-13359.894531 -11368.330078 11.602055,-680.910767 -7743.085938 -37.733074,1283.015869 2282.547852 122.700256,-10877.139648 5804.958008 -143.386475,-7677.553711 -6305.137695 -66.882767,-6300.431152 -14210.683594 -174.07637,-9961.455078 9932.879883 -11.194687,-10137.802734 -2090.681641 -96.995369,-6725.024902 94.762512 -79.301064,-12880.515625 5067.180664 -61.597961,-13584.337891 -1422.644531 -175.475494,
368.217987 , 3 , true , 12760.37793 2894.025391 164.591232,3903.559326 2930.543457 2.004921,3240.11084 3059.942383 144.03598,-2470.44458 -14239.214844 62.924324,-14702.911133 9597.442383 151.109726,-3775.608398 2590.124512 -59.615185,-5818.743164 -3889.238525 -149.220016,-2786.948242 -1702.89856 -25.520363,5926.396484 3306.464355 28.948898,12861.407227 2.102021 154.372482,5608.661133 1705.064209 -132.571869,-4329.39209 -9726.697266 -1.281219,1836.153076 -11255.03125 117.049423,-14819.743164 4764.078125 -171.170578,-9789.584961 -11312.464844 32.61219,10489.536133 -11104.755859 84.706245,12937.767578 -13921.052734 16.783142,-13329.530273 -11362.09375 11.602055,-656.393066 -7762.052246 -37.733074,1266.26709 2308.635986 122.700256,-10902.024414 5786.476074 -143.386475,-7665.383789 -6333.655273 -66.882767,-6331.264648 -14213.892578 -174.07637,-9931.030273 9926.855469 -11.194687,-10141.586914 -2121.45459 -96.995369,-6719.272949 64.301521 -79.301064,-12865.772461 5039.919434 -61.597961,-13615.24707 -1425.089111 -175.475494,
368.718994 , 3 , true , 12730.498047 2902.259766 164.591232,3934.536621 2931.625732 2.004921,3215.021729 3078.144287 144.03598,-2456.337158 -14211.605469 62.924324,-14730.066406 9612.427734 151.109726,-3759.926758 2563.385498 -59.615185,-5845.383789 -3905.101807 -149.220016,-2758.975586 -1716.25293 -25.520363,5953.521484 3321.472412 28.948898,12833.464844 15.510108 154.372482,5587.681641 1682.234253 -132.571869,-4298.407227 -9727.393555 -1.281219,1822.057007 -11227.421875 117.049423,-14850.379883 4759.325195 -171.170578,-9763.458984 -11295.753906 32.61219,10492.381836 -11073.876953 84.706245,12967.435547 -13912.091797 16.783142,-13299.166016 -11355.857422 11.602055,-631.875366 -7781.018555 -37.733074,1249.518311 2334.724121 122.700256,-10926.90918 5767.994141 -143.386475,-7653.213867 -6362.172852 -66.882767,-6362.098145 -14217.101562 -174.07637,-9900.605469 9920.831055 -11.194687,-10145.371094 -2152.227539 -96.995369,-6713.520996 33.840412 -79.301064,-12851.029297 5012.658203 -61.597961,-13646.15625 -1427.533691 -175.475494,
369.218994 , 3 , true , 12700.618164 2910.494141 164.591232,3965.513916 2932.708008 2.004921,3189.932617 3096.346191 144.03598,-2442.229736 -14183.996094 62.924324,-14757.22168 9627.413086 151.109726,-3744.245117 2536.646484 -59.615185,-5872.024414 -3920.965088 -149.220016,-2731.00293 -1729.6073 -25.520363,5980.646484 3336.480469 28.948898,12805.522461 28.918167 154.372482,5566.702148 1659.404297 -132.571869,-4267.422363 -9728.089844 -1.281219,1807.960938 -11199.8125 117.049423,-14857.297852 4758.251953 8.829444,-9737.333008 -11279.042969 32.61219,10495.227539 -11042.998047 84.706245,12997.103516 -13903.130859 16.783142,-13268.801758 -11349.621094 11.602055,-607.357666 -7799.984863 -37.733074,1232.769531 2360.812256 122.700256,-10951.793945 5749.512207 -143.386475,-7641.043945 -6390.69043 -66.882767,-6392.931641 -14220.310547 -174.07637,-9870.180664 9914.806641 -11.194687,-10149.155273 -2183.000488 -96.995369,-6707.769043 3.379303 -79.301064,-12836.286133 4985.396973 -61.597961,-13677.06543 -1429.978271 -175.475494,
369.718994 , 3 , true , 12670.738281 2918.728516 164.591232,3996.491211 2933.790283 2.004921,3164.843506 3114.548096 144.03598,-2428.122314 -14156.386719 62.924324,-14784.376953 9642.398438 151.109726,-3728.563477 2509.907471 -59.615185,-5898.665039 -3936.828369 -149.220016,-2703.030273 -1742.96167 -25.520363,6007.771484 3351.488525 28.948898,12777.580078 42.326225 154.372482,5545.722656 1636.574341 -132.571869,-4236.4375 -9728.786133 -1.281219,1793.864868 -11172.203125 117.049423,-14826.661133 4763.004883 8.829444,-9711.207031 -11262.332031 32.61219,10498.073242 -11012.119141 84.706245,13026.771484 -13894.169922 16.783142,-13238.4375 -11343.384766 11.602055,-582.839966 -7818.951172 -37.733074,1216.020752 2386.900391 122.700256,-10976.678711 5731.030273 -143.386475,-7628.874023 -6419.208008 -66.882767,-6423.765137 -14223.519531 -174.07637,-9839.755859 9908.782227 -11.194687,-10152.939453 -2213.773438 -96.995369,-6702.01709 -27.081804 -79.301064,-12821.542969 4958.135742 -61.597961,-13707.974609 -1432.422852 -175.475494,
370.218994 , 3 , true , 12640.858398 2926.962891 164.591232,4027.468506 2934.872559 2.004921,3139.754395 3132.75 144.03598,-2414.014893 -14128.777344 62.924324,-14811.532227 9657.383789 151.109726,-3712.881836 2483.168457 -59.615185,-5925.305664 -3952.69165 -149.220016,-2675.057617 -1756.31604 -25.520363,6034.896484 3366.496582 28.948898,12749.637695 55.734283 154.372482,5524.743164 1613.744385 -132.571869,-4205.452637 -9729.482422 -1.281219,1779.768799 -11144.59375 117.049423,-14796.024414 4767.757812 8.829444,-9685.081055 -11245.621094 32.61219,10500.918945 -10981.240234 84.706245,13056.439453 -13885.208984 16.783142,-13208.073242 -11337.148438 11.602055,-558.322266 -7837.91748 -37.733074,1199.271973 2412.988525 122.700256,-11001.563477 5712.54834 -143.386475,-7616.704102 -6447.725586 -66.882767,-6454.598633 -14226.728516 -174.07637,-9809.331055 9902.757812 -11.194687,-10156.723633 -2244.546387 -96.995369,-6696.265137 -57.542912 -79.301064,-12806.799805 4930.874512 -61.597961,-13738.883789 -1434.867432 -175.475494,
